# Tiempo [s],Tensión [V],Desplazamiento [mm]
5.000000000000000000e+00,4.008856623052524881e+00,4.373478994969612899e+00
5.030516421529812376e+00,4.008856623052524881e+00,4.373478994969612899e+00
5.061032843059624753e+00,4.008856623052524881e+00,4.373478994969612899e+00
5.091549264589437129e+00,4.008856623052524881e+00,4.373478994969612899e+00
5.122065686119249506e+00,4.008856623052524881e+00,4.373478994969612899e+00
5.152582107649060994e+00,4.008856623052524881e+00,4.373478994969612899e+00
5.183098529178873370e+00,4.008856623052524881e+00,4.373478994969612899e+00
5.213614950708685747e+00,4.008856623052524881e+00,4.373478994969612899e+00
5.244131372238498123e+00,4.008856623052524881e+00,4.373478994969612899e+00
5.274647793768310500e+00,4.008856623052524881e+00,4.373478994969612899e+00
5.305164215298122876e+00,4.008856623052524881e+00,4.373478994969612899e+00
5.335680636827935253e+00,4.008856623052524881e+00,4.373478994969612899e+00
5.366197058357747629e+00,4.008856623052524881e+00,4.373478994969612899e+00
5.396713479887559117e+00,4.008856623052524881e+00,4.373478994969612899e+00
5.427229901417371494e+00,4.008856623052524881e+00,4.373478994969612899e+00
5.457746322947183870e+00,4.008856623052524881e+00,4.373478994969612899e+00
5.488262744476996247e+00,4.008856623052524881e+00,4.373478994969612899e+00
5.518779166006808623e+00,4.008856623052524881e+00,4.373478994969612899e+00
5.549295587536620999e+00,4.008856623052524881e+00,4.373478994969612899e+00
5.579812009066433376e+00,4.008856623052524881e+00,4.373478994969612899e+00
5.610328430596245752e+00,4.008856623052524881e+00,4.373478994969612899e+00
5.640844852126058129e+00,4.008856623052524881e+00,4.373478994969612899e+00
5.671361273655869617e+00,4.008856623052524881e+00,4.373478994969612899e+00
5.701877695185681993e+00,4.008856623052524881e+00,4.373478994969612899e+00
5.732394116715494370e+00,4.008856623052524881e+00,4.373478994969612899e+00
5.762910538245306746e+00,4.008856623052524881e+00,4.373478994969612899e+00
5.793426959775119123e+00,4.008856623052524881e+00,4.373478994969612899e+00
5.823943381304931499e+00,4.008856623052524881e+00,4.373478994969612899e+00
5.854459802834743876e+00,4.008856623052524881e+00,4.373478994969612899e+00
5.884976224364556252e+00,4.008856623052524881e+00,4.373478994969612899e+00
5.915492645894367740e+00,4.008856623052524881e+00,4.373478994969612899e+00
5.946009067424180117e+00,4.008856623052524881e+00,4.373478994969612899e+00
5.976525488953992493e+00,4.008856623052524881e+00,4.394830567221373663e+00
6.007041910483804870e+00,8.018446208012845133e+00,4.422650126968108886e+00
6.037558332013617246e+00,8.018446208012845133e+00,4.450474325541452281e+00
