# Tiempo [s],Tensión de armadura [V],Velocidad [rad/s]
0.000000000000000000e+00,2.406823113956310181e+02,0.000000000000000000e+00
1.260504201680673429e-03,2.406823113956310181e+02,7.730136253947819114e-01
2.521008403361346857e-03,2.406823113956310181e+02,1.545485566244819253e+00
3.781512605042020286e-03,2.406823113956310181e+02,3.086590250236127542e+00
5.042016806722693714e-03,2.406823113956310181e+02,5.397438189993578384e+00
6.302521008403366709e-03,2.406823113956310181e+02,7.714310725012729186e+00
7.563025210084040571e-03,2.406823113956310181e+02,1.082160344628987403e+01
8.823529411764714434e-03,2.406823113956310181e+02,1.289733315994936547e+01
1.008403361344538743e-02,2.406823113956310181e+02,1.542688299096240279e+01
1.134453781512606042e-02,2.406823113956310181e+02,1.885662663405286565e+01
1.260504201680673342e-02,2.406823113956310181e+02,2.273255524212816781e+01
1.386554621848740815e-02,2.406823113956310181e+02,2.659560159429870652e+01
1.512605042016808114e-02,2.406823113956310181e+02,3.047067630174543140e+01
1.638655462184875414e-02,2.406823113956310181e+02,3.434680798606552088e+01
1.764705882352942887e-02,2.406823113956310181e+02,3.786391494971022098e+01
1.890756302521010013e-02,2.406823113956310181e+02,4.095452118979180511e+01
2.016806722689077486e-02,2.406823113956310181e+02,4.552652678049959434e+01
2.142857142857144959e-02,2.406823113956310181e+02,4.943479741432769003e+01
2.268907563025212085e-02,2.406823113956310181e+02,5.404890159415042916e+01
2.394957983193279558e-02,2.406823113956310181e+02,5.861000801058843734e+01
2.521008403361346684e-02,2.406823113956310181e+02,6.255681380141046333e+01
2.647058823529414157e-02,2.406823113956310181e+02,6.712695875011436897e+01
2.773109243697481630e-02,2.406823113956310181e+02,6.988574581489963577e+01
2.899159663865548756e-02,2.406823113956310181e+02,7.330646679323690762e+01
3.025210084033616229e-02,2.406823113956310181e+02,7.764747508299711853e+01
3.151260504201683355e-02,2.406823113956310181e+02,8.183101089279527685e+01
3.277310924369750827e-02,2.406823113956310181e+02,8.617234939367392599e+01
